rock,034C29,
permanent wave,027A40,permanent wave
nu gaze,049B4C,nu gaze
big beat,4DB96C,big beat
new rave,9ED089,new rave
punk,ED1C24,
dark cabaret,E77F87,dark cabaret
dark wave,E77F87,dark wave
neo-psychedelia,EC9EA5,neo-psychedelia
intelligent dance music,3E314F,intelligent dance music
wonky,35215F,wonky
electronic,652C90,electronic
nu skool breaks,71489C,nu skool breaks
electroclash,784C9E,electroclash
synthpop,7050A0,synthpop
trip hop,7E5AA5,trip hop
chillstep,AB86BC,chillstep
glitch hop,BF9FCA,glitch hop
jazz,F6EC31,
bossa nova,ADA734,bossa nova
lounge,E2DF7C,lounge
indie,808284,
indietronica,BBBDC0,indietronica
chill-out,ED1A76,chill-out
neo mellow,E95096,neo mellow
downtempo,E773A8,
ambient,F0AACC,
folk,722138
turntablism,2A388F,turntablism
pop,CF6242,
ninja,95C2DA,ninja
soul christmas,405B41,soul christmas
laboratorio,989076,laboratorio
metropolis,B169AB,metropolis
lilith,744C28,lilith
commons,5AAAA5,commons
deep funk,937930,deep funk
swing,4E6830,
filter house,85B9D6,filter house
coverchill,6A78BA,coverchill


chamber pop,CF6242,pop
alternative rock,034C29,rock
dance-punk,ED1C24,punk
garage rock,034C29,rock
piano rock,034C29,rock
indie rock,808284,indie
pop rock,034C29,rock
vocal jazz,F6EC31,jazz
deep downtempo fusion,E773A8,downtempo
downtempo fusion,E773A8,downtempo
nu jazz,F6EC31,jazz
electro jazz,F6EC31,jazz
german pop,CF6242,pop
sheffield indie,808284,indie
indie christmas,808284,indie
stomp pop,CF6242,pop
british indie rock,808284,indie
pop christmas,CF6242,pop
electro swing,4E6830,swing
michigan indie,808284,indie
acid jazz,F6EC31,jazz
shimmer pop,CF6242,pop
la indie,808284,indie
indie pop,808284,indie
indie r&b,808284,indie
icelandic pop,CF6242,pop
indie folk,808284,indie
folk-pop,722138,folk
ambient fusion,F0AACC,ambient
downtempo trip hop,7E5AA5,trip hop
post rock,034C29,rock
alternative dance,3E314F,intelligent dance music
alternative hip hop,7E5AA5,trip hop



