Kasabian,"October 21, 2014 at 01:55PM",Club Foot,0.951018,"garage rock,madchester,neo-psychedelic,indie rock,rock"
Beck,"October 21, 2014 at 01:59PM",Think I'm In Love,0.573772,"alternative rock,permanent wave,indie christmas,lo-fi,indie rock,anti-folk,folk christmas"
She Wants Revenge,"October 21, 2014 at 02:02PM",Broken Promises For Broken Hearts,0.652156,"dark wave,dance-punk,gothic rock,electroclash,uk post-punk,new wave,alternative dance,new rave,synthpop"
Muse,"October 21, 2014 at 02:06PM",Feeling Good,0.438293,"permanent wave,piano rock,rock"
Arctic Monkeys,"October 21, 2014 at 02:09PM",One for the Road,0.67539,"sheffield indie,permanent wave,indie rock"
Spoon,"October 21, 2014 at 02:13PM",I Turn My Camera On,0.372725,"indie rock,lo-fi,alternative rock,indie pop,chamber pop,garage rock,noise pop,neo-psychedelic,dance-punk,indie folk,stomp and holler"
Kasabian,"October 21, 2014 at 02:17PM",Processed Beats,0.741227,"garage rock,madchester,neo-psychedelic,indie rock,rock"
Muse,"October 21, 2014 at 02:20PM",Hysteria,0.902266,"permanent wave,piano rock,rock"
Franz Ferdinand,"October 21, 2014 at 02:24PM",Outsiders,0.984118,"dance-punk,indie rock,rock"
Guster,"October 21, 2014 at 02:28PM",Satellite,0.743634,"indie christmas,pop rock,neo mellow,pop christmas,power pop,jam band,post-grunge,alternative rock,singer-songwriter"
Kaiser Chiefs,"October 21, 2014 at 02:33PM",Ruby,0.687839,"indie rock,garage rock,dance-punk,britpop,madchester,new rave,rock"
Kasabian,"October 21, 2014 at 02:36PM",Where Did All the Love Go?,0.812471,"garage rock,madchester,neo-psychedelic,indie rock,rock"
Arctic Monkeys,"October 21, 2014 at 02:41PM",Red Light Indicates Doors Are Secured,0.850277,"sheffield indie,permanent wave,indie rock"
MGMT,"October 21, 2014 at 02:43PM",Time to Pretend,0.893674,"indietronica,alternative dance,dance-punk,neo-psychedelic,new rave,synthpop,indie pop,indie rock"
Hard-Fi,"October 21, 2014 at 03:31PM",Cash Machine (Radio Edit),0.661183,"dance-punk,british indie rock,britpop,indie rock,garage rock,new rave,madchester,rock"
Bloc Party,"October 21, 2014 at 03:36PM",Kreuzberg,0.657342,"dance-punk,indie rock,indietronica"
OK Go,"October 21, 2014 at 03:41PM",Do What You Want,0.876764,"permanent wave,indie rock,indie pop,garage rock,alternative rock"
Rock Kills Kid,"October 21, 2014 at 03:44PM",Paralyzed,0.8829,stomp pop
Hard-Fi,"October 21, 2014 at 03:47PM",Living For The Weekend,0.573258,"dance-punk,british indie rock,britpop,indie rock,garage rock,new rave,madchester,rock"
Kasabian,"October 21, 2014 at 03:52PM",Fast Fuse,0.991114,"garage rock,madchester,neo-psychedelic,indie rock,rock"
Bloc Party,"October 21, 2014 at 03:56PM",Tulips (club version),0.924195,"dance-punk,indie rock,indietronica"
Modest Mouse,"October 21, 2014 at 04:01PM",Dashboard,0.896132,"indie rock,lo-fi,alternative rock,indie pop,neo-psychedelic,indie folk,noise pop,chamber pop"
Hard-Fi,"October 21, 2014 at 04:05PM",I Shall Overcome,0.850272,"dance-punk,british indie rock,britpop,indie rock,garage rock,new rave,madchester,rock"
Kasabian,"October 21, 2014 at 04:10PM",I.D.,0.749693,"garage rock,madchester,neo-psychedelic,indie rock,rock"
Eagles of Death Metal,"October 21, 2014 at 04:15PM",I'm Your Torpedo,0.460433,"garage rock,punk blues,stoner rock"
Babyshambles,"October 22, 2014 at 04:06PM",A'Rebours,0.786774,"garage rock,british indie rock,indie rock,britpop,madchester,dance-punk"
Kasabian,"October 22, 2014 at 04:11PM",Days Are Forgotten,0.44585,"garage rock,madchester,neo-psychedelic,indie rock,rock"
Babyshambles,"October 22, 2014 at 05:02PM",Pipedown,0.838762,"garage rock,british indie rock,indie rock,britpop,madchester,dance-punk"
The Strokes,"October 22, 2014 at 05:04PM",Between Love & Hate,0.600059,"garage rock,indie rock,permanent wave"
Arctic Monkeys,"October 22, 2014 at 05:08PM",From the Ritz to the Rubble,0.929019,"sheffield indie,permanent wave,indie rock"
Good Shoes,"October 22, 2014 at 05:12PM",Small Town Girl,0.985637,"british indie rock,indie rock"
Babyshambles,"October 22, 2014 at 05:19PM",I Wish,0.830587,"garage rock,british indie rock,indie rock,britpop,madchester,dance-punk"
Arctic Monkeys,"October 22, 2014 at 05:22PM",I Bet You Look Good on the Dancefloor,0.970063,"sheffield indie,permanent wave,indie rock"
The White Stripes,"October 22, 2014 at 05:25PM",Offend in Every Way,0.630215,"garage rock,punk blues,permanent wave,alternative rock,indie rock,blues-rock"
The Libertines,"October 22, 2014 at 06:11PM",Vertigo,0.960876,"garage rock,indie rock,dance-punk"
The Strokes,"October 22, 2014 at 06:14PM",Meet Me In The Bathroom,0.93865,"garage rock,indie rock,permanent wave"
The Futureheads,"October 22, 2014 at 06:23PM",Meantime,0.950097,"indie christmas,indie rock,dance-punk,british indie rock,garage rock,new rave,britpop,madchester"
The Smiths,"October 22, 2014 at 06:27PM",How Soon Is Now?,0.421268,"permanent wave,madchester,new wave,alternative rock,indie rock,rock"
Kasabian,"October 22, 2014 at 06:30PM",Me Plus One,0.911538,"garage rock,madchester,neo-psychedelic,indie rock,rock"
Brad Sucks,"October 22, 2014 at 06:33PM",Making Me Nervous,0.592807,commons
Metric,"October 22, 2014 at 06:36PM",Gold Guns Girls,0.360545,"synthpop,metropopolis,indietronica,indie pop,indie rock,dance-punk,alternative dance,chamber pop,new rave,canadian indie"
Franz Ferdinand,"October 22, 2014 at 06:40PM",No You Girls,0.802094,"dance-punk,indie rock,rock"
Arctic Monkeys,"October 22, 2014 at 06:44PM",Why'd You Only Call Me When You're High?,0.36768,"sheffield indie,permanent wave,indie rock"
