Thom Yorke,"November 08, 2014 at 06:46PM",Black Swan,0.7884,chamber pop
Ratatat,"November 09, 2014 at 07:42PM",Brulee,0.838915,"indietronica,dance-punk,alternative dance,new rave,post rock,synthpop"
Two Fingers,"November 09, 2014 at 07:46PM",Fools Rhythm,0.773017,"wonky,ninja,glitch hop,bass music,turntablism,dubstep"
John Frusciante,"November 09, 2014 at 07:50PM",Murderers,0.746452,"alternative rock,funk metal,grunge,rock"
J-Walk,"November 09, 2014 at 07:53PM",Soul Vibration,0.904594,
Amon Tobin,"November 09, 2014 at 07:56PM",At the End of the Day,0.781454,"ninja,trip hop,downtempo,drill and bass,illbient,big beat,nu jazz,intelligent dance music,electronic,chill-out,turntablism"
Hard-Fi,"November 11, 2014 at 10:30AM",Better Do Better,0.667109,"dance-punk,british indie rock,britpop,indie rock,garage rock,new rave,madchester,rock"
Hard-Fi,"November 11, 2014 at 12:17PM",Living For The Weekend,0.573258,"dance-punk,british indie rock,britpop,indie rock,garage rock,new rave,madchester,rock"
Kasabian,"November 11, 2014 at 01:00PM",Underdog,0.870296,"garage rock,madchester,neo-psychedelic,indie rock,rock"
Keane,"November 11, 2014 at 01:04PM",Somewhere Only We Know,0.609293,"piano rock,neo mellow,britpop,pop rock,madchester,rock,indie rock"
The Killers,"November 11, 2014 at 01:08PM",All These Things That I've Done,0.860044,"permanent wave,indie christmas,indie rock,vegas indie,rock,pop rock,pop christmas"
Bloc Party,"November 11, 2014 at 01:13PM",So Here We Are,0.874549,"dance-punk,indie rock,indietronica"
Hard-Fi,"November 11, 2014 at 01:18PM",Bring It On,0.744284,"dance-punk,british indie rock,britpop,indie rock,garage rock,new rave,madchester,rock"
Kasabian,"November 11, 2014 at 01:22PM",I.D.,0.749693,"garage rock,madchester,neo-psychedelic,indie rock,rock"
Carolina Liar,"November 11, 2014 at 01:27PM",I'm Not Over,0.378664,"neo mellow,pop rock"
Kaiser Chiefs,"November 11, 2014 at 01:35PM",Oh My God,0.906876,"indie rock,garage rock,dance-punk,britpop,madchester,new rave,rock"
Muse,"November 11, 2014 at 01:39PM",Supermassive Black Hole,0.864658,"permanent wave,piano rock,rock"
The Kooks,"November 11, 2014 at 01:42PM",Naïve,0.795509,indie rock
Franz Ferdinand,"November 11, 2014 at 01:45PM",Can't Stop Feeling,0.884433,"dance-punk,indie rock,rock"
Hard-Fi,"November 11, 2014 at 01:49PM",Stay Alive,0.88249,"dance-punk,british indie rock,britpop,indie rock,garage rock,new rave,madchester,rock"
The Killers,"November 11, 2014 at 01:53PM",When You Were Young,0.772289,"permanent wave,indie christmas,indie rock,vegas indie,rock,pop rock,pop christmas"
Razorlight,"November 11, 2014 at 01:57PM",Golden Touch,0.489119,"garage rock,britpop,indie rock,madchester,rock"
Muse,"November 11, 2014 at 04:44PM",Time Is Running Out,0.883226,"permanent wave,piano rock,rock"
The Temper Trap,"November 11, 2014 at 04:48PM",Sweet Disposition,0.553946,"indietronica,australian alternative rock,indie pop,alternative dance,indie rock,synthpop"
Bloc Party,"November 11, 2014 at 04:52PM",Ion Square,0.883969,"dance-punk,indie rock,indietronica"
Hard-Fi,"November 11, 2014 at 04:59PM",Tied Up Too Tight,0.267619,"dance-punk,british indie rock,britpop,indie rock,garage rock,new rave,madchester,rock"
Kasabian,"November 11, 2014 at 05:05PM",Running Battle,0.904584,"garage rock,madchester,neo-psychedelic,indie rock,rock"
Modest Mouse,"November 11, 2014 at 05:09PM",Dashboard,0.896132,"indie rock,lo-fi,alternative rock,indie pop,neo-psychedelic,indie folk,noise pop,chamber pop"
Franz Ferdinand,"November 11, 2014 at 05:13PM",Come On Home,0.872805,"dance-punk,indie rock,rock"
Hard-Fi,"November 11, 2014 at 05:17PM",Middle Eastern Holiday,0.865112,"dance-punk,british indie rock,britpop,indie rock,garage rock,new rave,madchester,rock"
Kasabian,"November 11, 2014 at 05:21PM",Ovary Stripe,0.777661,"garage rock,madchester,neo-psychedelic,indie rock,rock"
Rooney,"November 11, 2014 at 05:25PM",I'm Shakin',0.612743,"pop rock,indie rock"
Ratatat,"November 12, 2014 at 02:18PM",Loud Pipes,0.380024,"indietronica,dance-punk,alternative dance,new rave,post rock,synthpop"
Ernest Gonzales,"November 12, 2014 at 02:23PM",Life Is But a Dream,0.940661,wonky
Marlena Shaw,"November 12, 2014 at 02:31PM",California Soul (Diplo/Mad Decent Remix),0.767348,"soul christmas,jazz funk,quiet storm,disco,jazz blues,funk,soul,motown"
Ratatat,"November 12, 2014 at 02:47PM",Nostrand,0.378535,"indietronica,dance-punk,alternative dance,new rave,post rock,synthpop"
Gramatik,"November 12, 2014 at 02:51PM",The Unfallen Kingdom,0.482018,"turntablism,trip hop,chill-out"
Moondog,"November 12, 2014 at 02:54PM",Bird's Lament,0.282529,"laboratorio,minimal,bow pop,fourth world,experimental,outsider,free improvisation,mallet,drone,modern classical,avant-garde"
Ratatat,"November 12, 2014 at 03:03PM",Crips,0.447377,"indietronica,dance-punk,alternative dance,new rave,post rock,synthpop"
